DATE,MORTGAGE30US,MORTGAGE30US_CHG,MORTGAGE30US_PCH
2016-12-01,4.1980000000000000,0.4280000000000000,11.35279
2017-01-01,4.1500000000000000,-0.0480000000000000,-1.14340
2017-02-01,4.1675000000000000,0.0175000000000000,0.42169
2017-03-01,4.1960000000000000,0.0285000000000000,0.68386
2017-04-01,4.0450000000000000,-0.1510000000000000,-3.59867
2017-05-01,4.0100000000000000,-0.0350000000000000,-0.86527
2017-06-01,3.9040000000000000,-0.1060000000000000,-2.64339
2017-07-01,3.9675000000000000,0.0635000000000000,1.62654
2017-08-01,3.8800000000000000,-0.0875000000000000,-2.20542
2017-09-01,3.8050000000000000,-0.0750000000000000,-1.93299
2017-10-01,3.8950000000000000,0.0900000000000000,2.36531
2017-11-01,3.9220000000000000,0.0270000000000000,0.69320
2017-12-01,3.9500000000000000,0.0280000000000000,0.71392
2018-01-01,4.0325000000000000,0.0825000000000000,2.08861
2018-02-01,4.3300000000000000,0.2975000000000000,7.37756
2018-03-01,4.4440000000000000,0.1140000000000000,2.63279
2018-04-01,4.4675000000000000,0.0235000000000000,0.52880
2018-05-01,4.5860000000000000,0.1185000000000000,2.65249
2018-06-01,4.5700000000000000,-0.0160000000000000,-0.34889
2018-07-01,4.5275000000000000,-0.0425000000000000,-0.92998
2018-08-01,4.5500000000000000,0.0225000000000000,0.49696
2018-09-01,4.6275000000000000,0.0775000000000000,1.70330
2018-10-01,4.8300000000000000,0.2025000000000000,4.37601
2018-11-01,4.8660000000000000,0.0360000000000000,0.74534
2018-12-01,4.6375000000000000,-0.2285000000000000,-4.69585
2019-01-01,4.4640000000000000,-0.1735000000000000,-3.74124
2019-02-01,4.3700000000000000,-0.0940000000000000,-2.10573
2019-03-01,4.2650000000000000,-0.1050000000000000,-2.40275
2019-04-01,4.1425000000000000,-0.1225000000000000,-2.87222
2019-05-01,4.0720000000000000,-0.0705000000000000,-1.70187
2019-06-01,3.8025000000000000,-0.2695000000000000,-6.61837
2019-07-01,3.7650000000000000,-0.0375000000000000,-0.98619
2019-08-01,3.6160000000000000,-0.1490000000000000,-3.95750
2019-09-01,3.6050000000000000,-0.0110000000000000,-0.30420
2019-10-01,3.6880000000000000,0.0830000000000000,2.30236
2019-11-01,3.6950000000000000,0.0070000000000000,0.18980
2019-12-01,3.7200000000000000,0.0250000000000000,0.67659
2020-01-01,3.6240000000000000,-0.0960000000000000,-2.58065
2020-02-01,3.4650000000000000,-0.1590000000000000,-4.38742
2020-03-01,3.4500000000000000,-0.0150000000000000,-0.43290
2020-04-01,3.3060000000000000,-0.1440000000000000,-4.17391
2020-05-01,3.2325000000000000,-0.0735000000000000,-2.22323
2020-06-01,3.1625000000000000,-0.0700000000000000,-2.16551
2020-07-01,3.0160000000000000,-0.1465000000000000,-4.63241
2020-08-01,2.9350000000000000,-0.0810000000000000,-2.68568
2020-09-01,2.8900000000000000,-0.0450000000000000,-1.53322
2020-10-01,2.8340000000000000,-0.0560000000000000,-1.93772
2020-11-01,2.7650000000000000,-0.0690000000000000,-2.43472
2020-12-01,2.6840000000000000,-0.0810000000000000,-2.92948
2021-01-01,2.7350000000000000,0.0510000000000000,1.90015
2021-02-01,2.8100000000000000,0.0750000000000000,2.74223
2021-03-01,3.0825000000000000,0.2725000000000000,9.69751
2021-04-01,3.0600000000000000,-0.0225000000000000,-0.72993
2021-05-01,2.9625000000000000,-0.0975000000000000,-3.18627
2021-06-01,2.9750000000000000,0.0125000000000000,0.42194
2021-07-01,2.8680000000000000,-0.1070000000000000,-3.59664
2021-08-01,2.8425000000000000,-0.0255000000000000,-0.88912
2021-09-01,2.9000000000000000,0.0575000000000000,2.02287
2021-10-01,3.0675000000000000,0.1675000000000000,5.77586
2021-11-01,3.0675000000000000,0.0000000000000000,0.00000
2021-12-01,3.0980000000000000,0.0305000000000000,0.99430
2022-01-01,3.4450000000000000,0.3470000000000000,11.20077
2022-02-01,3.7625000000000000,0.3175000000000000,9.21626
2022-03-01,4.1720000000000000,0.4095000000000000,10.88372
2022-04-01,4.9825000000000000,0.8105000000000000,19.42713
2022-05-01,5.2300000000000000,0.2475000000000000,4.96739
2022-06-01,5.5220000000000000,0.2920000000000000,5.58317
2022-07-01,5.4125000000000000,-0.1095000000000000,-1.98298
2022-08-01,5.2225000000000000,-0.1900000000000000,-3.51039
2022-09-01,6.1120000000000000,0.8895000000000000,17.03207
2022-10-01,6.9000000000000000,0.7880000000000000,12.89267
2022-11-01,6.8050000000000000,-0.0950000000000000,-1.37681
2022-12-01,6.3640000000000000,-0.4410000000000000,-6.48053
2023-01-01,6.2725000000000000,-0.0915000000000000,-1.43777
